STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,SNOW,SNWD,TMAX,TMIN
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/1/1970,0,4,38,23
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/2/1970,0,4,29,23
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/3/1970,0,4,32,24
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/4/1970,0,4,28,5
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/5/1970,0,4,23,7
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/6/1970,0,3,35,7
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/7/1970,1,4,25,15
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/8/1970,0,4,19,-4
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/9/1970,0,4,5,-5
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/10/1970,1,5,10,-5
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/11/1970,0,3,20,2
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/12/1970,2,5,25,8
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/13/1970,0,5,28,17
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/14/1970,1,6,26,14
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/15/1970,0,5,22,-9
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/16/1970,0,5,30,-5
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/17/1970,0,4,48,2
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/18/1970,0,4,40,9
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/19/1970,0,2,35,2
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/20/1970,0,2,20,1
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/21/1970,1,3,18,-1
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/22/1970,0,3,11,-11
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/23/1970,0,3,18,-10
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/24/1970,0,3,23,-10
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/25/1970,0,3,29,-8
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/26/1970,0,1,47,24
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/27/1970,0,0,36,30
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/28/1970,0,0,36,24
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/29/1970,0,0,53,30
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/30/1970,0,0,46,21
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,1/31/1970,0,0,40,20
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/1/1970,0,0,44,21
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/2/1970,0,0,50,32
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/3/1970,1,1,49,19
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/4/1970,3,4,19,-3
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/5/1970,1,5,26,-3
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/6/1970,0,2,38,26
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/7/1970,0,0,50,12
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/8/1970,1,1,42,12
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/9/1970,0,0,38,33
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/10/1970,0,0,41,33
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/11/1970,1,1,35,27
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/12/1970,1,2,32,14
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/13/1970,2,4,27,13
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/14/1970,0,2,20,-5
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/15/1970,1.5,3,28,2
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/16/1970,0,2,32,6
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/17/1970,0,2,32,8
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/18/1970,0,0,44,8
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/19/1970,0,0,55,26
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/20/1970,0,0,29,16
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/21/1970,0,0,35,15
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/22/1970,0,0,38,16
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/23/1970,0,0,58,25
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/24/1970,0,0,38,19
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/25/1970,0,0,52,21
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/26/1970,0,0,35,3
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/27/1970,1,1,31,4
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,2/28/1970,0,0,45,21
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/1/1970,0,0,40,15
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/2/1970,0,0,55,29
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/3/1970,0,0,52,38
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/4/1970,0,0,46,37
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/5/1970,0,0,52,34
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/6/1970,0,0,40,22
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/7/1970,0,0,46,20
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/8/1970,0,0,41,0
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/9/1970,0,0,33,18
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/10/1970,0,0,38,16
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/11/1970,0,0,36,18
